Nama Obat,Kelas Terapi,Sub Kelas Terapi 1,Sub Kelas Terapi 2,Sub Kelas Terapi 3,Kekuatan,Satuan,Sediaan,Komposisi,Tingkat Faskes FPKTP,Tingkat Faskes FPKTL,PP,PRBOEN,Program [P],Kanker [Ca],Restriksi Obat,Restriksi sediaan,Restriksi Kelas Terapi,Restriksi Sub Kelas Terapi,Restriksi Sub Sub Kelas Terapi,Restriksi Sub Sub Sub Kelas Terapi,Peresepan Maksimal
Analog Insulin Prandial: insulin glulisin,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,,yes,,yes,,,,,,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,
Analog Insulin Prandial: insulin lispro,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,,yes,,yes,,,,,,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,
DMSA (dimercaptosuccinic acid),DIAGNOSTIK,RADIOFARMAKA KEDOKTERAN NUKLIR,Farmaka Kedokteran Nuklir,,"1,1","mg meso-2, 3-dimercaptosuccinic acid/vial",,,yes,,,,,,,,,,,,
DTPA (diethylenetriamine pentaacetic acid),DIAGNOSTIK,RADIOFARMAKA KEDOKTERAN NUKLIR,Farmaka Kedokteran Nuklir,,,,serb inj,,yes,,,,,,,,,,,,
FDG (fluoro deoxy glucose),DIAGNOSTIK,RADIOFARMAKA KEDOKTERAN NUKLIR,Radiofarmaka Kedokteran Nuklir Diagnostik,,sesuai kebutuhan,,,,yes,,,,,,,,,,,,
Human Insulin Basal: insulin NPH (Neutral Protamine Hagedorn),HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,yes,yes,,yes,yes,,,"""a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.""",,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,"Dalam kondisi tertentu, Dokter di FPKTP dapat melakukan penyesuaian dosis (titrasi) insulin basal hingga 20 IU/hari."
Human Insulin Campuran: kombinasi 70% insulin NPH dan 30% insulin regular,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,,yes,,yes,yes,,,"""a) Pasien diabetes melitus tipe 2 yang sudah diberikan kombinasi metformin dan obat diabetes oral lainnya dengan dosis optimal masing-masing obat telah diberikan minimal dalam 3 bulan namun kadar glukosa darahnya belum terkendali (HbA1C > 7,5% atau gula darah rerata > 169 mg/dL).
atau
b) Pasien diabetes melitus tipe 2 dengan kadar HbA1C nya > 9% disertai dengan gejala-gejala dekompensasi metabolik.
c) Pemberian insulin pada (a) dan (b) dapat dilanjutkan untuk pasien diabetes melitus tipe 2, jika insulin dibutuhkan untuk mempertahankan pengendalian glukosa darah.""",,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,
Human Insulin Prandial: insulin regular,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,ANTIDIABETES,Antidiabetes Parenteral,,100,"IU/mL (kemasan vial, disposable cartridge, penfill cartridge)",inj,,yes,,yes,yes,,,,,,,"""a) Dapat digunakan untuk pasien DM tipe 1 atau DM tipe 2.
b) Untuk DM tipe 1 dapat dimulai dengan Human Insulin atau Analog Insulin.
c) Wanita hamil yang memerlukan insulin maka diutamakan menggunakan human insulin.
d) Diperlukan kehati-hatian terhadap risiko terjadinya hipoglikemia yang penanganannya merujuk pada penatalaksanaan hipoglikemia.""",,
IUD levonorgestrel,HORMON OBAT ENDOKRIN LAIN dan KONTRASEPSI,HORMON KELAMIN dan OBAT yang MEMENGARUHI FERTILITAS,Kontrasepsi,"Kontrasepsi, AKDR (IUD)",,,set,,yes,,,,yes,,,,,,,,
Kombipak kusta tipe multibasiler (MB) untuk anak,ANTIINFEKSI,ANTIINFEKSI KHUSUS,Antilepra,,,,,yes,yes,,,,yes,,"""Catatan: Disediakan oleh Program Kemenkes.

a) Hanya diberikan pada penderita kusta tipe MB anak usia 10 -15 tahun.
b) Dosis 1 blister untuk 28 hari selama 12 bulan.
c) Dosis bulanan (hari pertama) rifampisin 450 mg, dapson 50 mg, dan klofazimin 150 mg.
d) Dosis harian (hari ke-2 hingga ke-28), dapson 50 mg per hari dan klofazimin 50 mg setiap 2 hari.""",,,,,,
Kombipak kusta tipe multibasiler (MB) untuk dewasa,ANTIINFEKSI,ANTIINFEKSI KHUSUS,Antilepra,,,,,yes,yes,,,,yes,,"""Catatan: Disediakan oleh Program Kemenkes.

a) Hanya diberikan pada penderita kusta tipe MB dewasa usia ≥ 15 tahun.
b) Dosis 1 blister untuk 1 bulan (28 hari) selama 12 bulan.
c) Dosis bulanan (hari pertama) rifampisin 600 mg, dapson 100 mg, dan klofazimin 300 mg.
d) Dosis harian (hari ke-2 hingga ke-28) dapson 100 mg per hari dan klofazimin 50 mg per hari.""",,,,,,
Kombipak kusta tipe pausibasiler (PB) untuk anak,ANTIINFEKSI,ANTIINFEKSI KHUSUS,Antilepra,,,,,yes,yes,,,,yes,,"""Catatan: Disediakan oleh Program Kemenkes.

a) Hanya diberikan pada penderita kusta tipe PB Anak usia 10 -15 tahun. Dosis 1 blister untuk 28 hari selama 6 bulan.
b) Dosis bulanan (hari pertama) rifampisin 450 mg dan dapson 50 mg.
c) Dosis harian (hari ke-2 hingga ke-28) dapson 50 mg per hari.""",,,,,,
Kombipak kusta tipe pausibasiler (PB) untuk dewasa,ANTIINFEKSI,ANTIINFEKSI KHUSUS,Antilepra,,,,,yes,yes,,,,yes,,"""Catatan: Disediakan oleh Program Kemenkes.

a) Hanya diberikan pada penderita kusta tipe PB dewasa usia ≥ 15 tahun.
b) Dosis 1 bister untuk 28 hari selama 6 bulan.
c) Dosis bulanan (hari pertama) rifampisin 600 mg dan dapson 100 mg.
d) Dosis harian (hari ke-2 hingga ke-28) dapson 100 mg per hari.""",,,,,,
Kombipak/paket azitromisin dan sefiksim,ANTIINFEKSI,ANTIBAKTERI,Antibakteri Lain,Lain–Lain,,,,yes,yes,,,,yes,,"""Catatan: Disediakan oleh Program Kemenkes.

Digunakan untuk pasien infeksi menular seksual jenis gonorrhoe, klamidia, urethritis, servisitis.""",,,,,,
Larutan Mengandung Asam Amino,LARUTAN ELEKTROLIT NUTRISI dan LAIN - LAIN,PARENTERAL,,,,,,,yes,,,yes,,,,,,,,,
Larutan Mengandung Asam Amino+ Elektrolit+Karbohidrat+Lipid,LARUTAN ELEKTROLIT NUTRISI dan LAIN - LAIN,PARENTERAL,,,,,,,yes,,,,,,,"""Hanya digunakan untuk pasien dengan Total Parenteral Nutrition
(TPN).""",,,,,
Larutan Mengandung Elektrolit,LARUTAN ELEKTROLIT NUTRISI dan LAIN - LAIN,PARENTERAL,,,,,,,yes,,,,,,,,,,,,
Larutan Mengandung Elektrolit,LARUTAN ELEKTROLIT NUTRISI dan LAIN - LAIN,PARENTERAL,,,,,,yes,yes,,,yes,,,,,,,,,
Larutan Mengandung Fosfat Organik dengan/tanpa vitamin yang larut dalam air,LARUTAN ELEKTROLIT NUTRISI dan LAIN - LAIN,PARENTERAL,,,,,,,yes,,,,,,,"Digunakan pada pasien dengan hipofosfatemia yang tidak bisa diatasi dengan pemberian per oral, termasuk neonatus.",,,,,
Larutan Mengandung Karbohidrat,LARUTAN ELEKTROLIT NUTRISI dan LAIN - LAIN,PARENTERAL,,,,,,yes,yes,,,yes,,,,,,,,,
Larutan Mengandung Karbohidrat+Elektrolit,LARUTAN ELEKTROLIT NUTRISI dan LAIN - LAIN,PARENTERAL,,,,,,yes,yes,,,yes,,,,,,,,,
Larutan Mengandung Lipid,LARUTAN ELEKTROLIT NUTRISI dan LAIN - LAIN,PARENTERAL,,,,,,,yes,,,yes,,,,,,,,,
"Larutan Mengandung Vitamin yang larut dalam lemak (Vitamin A, D, E, K)",LARUTAN ELEKTROLIT NUTRISI dan LAIN - LAIN,PARENTERAL,,,,,,,yes,,,,,,,,,,,,
MAA (macro aggregate albumin),DIAGNOSTIK,RADIOFARMAKA KEDOKTERAN NUKLIR,Farmaka Kedokteran Nuklir,,"0,11-2,5",mg albumin aggregated/reaction vial,,,yes,,,,,,,,,,,,
MAG3 (mercaptoacetyltriglysine),DIAGNOSTIK,RADIOFARMAKA KEDOKTERAN NUKLIR,Farmaka Kedokteran Nuklir,,1,mg betiatide/vial,,,yes,,,,,,,,,,,,
MDP (methylene diphosphonate),DIAGNOSTIK,RADIOFARMAKA KEDOKTERAN NUKLIR,Farmaka Kedokteran Nuklir,,,,serb inj,,yes,,,,,,,,,,,,
MIBI (methoxyisobutyl isonitrile),DIAGNOSTIK,RADIOFARMAKA KEDOKTERAN NUKLIR,Farmaka Kedokteran Nuklir,,,,serb inj,,yes,,,,,,,,,,,,
OAT KDT Kategori 1,ANTIINFEKSI,ANTIINFEKSI KHUSUS,Antituberkulosis,,,,tab,yes,yes,,,yes,yes,,,,,,"""Catatan:
a) Disediakan oleh Program Kemenkes.
b) Penggunaan sesuai dengan Program Nasional Pengendalian TB.""",,"""Digunakan pada:
a) Pengobatan TB tahap awal:
    1 tab/15 kgBB, maks selama 2 bulan pertama.
b) Pengobatan TB tahap lanjutan:
1 tab/15 kgBB, maks selama 4 bulan tahap lanjutan, pemberian setiap hari.
c) Dapat diperpanjang bila perlu."""
OAT KDT Kategori 1,ANTIINFEKSI,ANTIINFEKSI KHUSUS,Antituberkulosis,,,,tab,yes,yes,,,yes,yes,,,,,,"""Catatan:
a) Disediakan oleh Program Kemenkes.
b) Penggunaan sesuai dengan Program Nasional Pengendalian TB.""",,"""Digunakan pada:
a) Pengobatan TB tahap awal:
    1 tab/15 kgBB, maks selama 2 bulan pertama.
b) Pengobatan TB tahap lanjutan:
1 tab/15 kgBB, maks selama 4 bulan tahap lanjutan, pemberian setiap hari.
c) Dapat diperpanjang bila perlu."""
OAT KDT Kategori Anak,ANTIINFEKSI,ANTIINFEKSI KHUSUS,Antituberkulosis,,,,tab,yes,yes,,,yes,yes,,,,,,"""Catatan:
a) Disediakan oleh Program Kemenkes.
b) Penggunaan sesuai dengan Program Nasional Pengendalian TB.""",,"""- Untuk 3 KDT/FDC:
Digunakan pada pengobatan TB tahap awal.
1 tab/5−8 kgBB, maks 2 bulan pertama, pemberian setiap hari.
- Untuk 2 KDT/FDC: Digunakan pada pengobatan TB tahap lanjutan.
1 tab/5−8 kgBB, maks 4 bulan tahap lanjutan, pemberian setiap hari."""
OAT Kombipak Kategori 1,ANTIINFEKSI,ANTIINFEKSI KHUSUS,Antituberkulosis,,,,,yes,yes,,,yes,yes,,"""Diberikan untuk pasien TB yang 
tidak bisa menggunakan OAT bentuk FDC/KDT.""",,,,"""Catatan:
a) Disediakan oleh Program Kemenkes.
b) Penggunaan sesuai dengan Program Nasional Pengendalian TB.""",,"""- Untuk Kombipak II: Digunakan pada pengobatan TB tahap awal. Kategori 1: Maks 448 tab (56 blister) selama 2 bulan pertama, pemberian setiap hari.
- Untuk Kombipak III: Digunakan pada pengobatan TB tahap lanjutan. Kategori 1: Maks 144 tab selama 4 bulan (48 blister Kombipak III), pemberian 3x seminggu. """
OAT Kombipak Kategori Anak,ANTIINFEKSI,ANTIINFEKSI KHUSUS,Antituberkulosis,,,,,yes,yes,,,yes,yes,,"""Diberikan untuk pasien TB yang 
tidak bisa menggunakan OAT bentuk FDC/KDT.
""",,,,"""Catatan:
a) Disediakan oleh Program Kemenkes.
b) Penggunaan sesuai dengan Program Nasional Pengendalian TB.""",,"""- Untuk Kombipak A: Digunakan pada pengobatan TB tahap awal. Maks 280 tab (28 sachet Kombipak A) selama 2 bulan pertama pemberian setiap hari.
- Untuk Kombipak B:Digunakan pada pengobatan TB tahap lanjutan. Maks 336 tab selama 4 bulan lanjutan pemberian setiap hari.
"""
Pangan Olahan untuk Keperluan Medis Khusus (PKMK) untuk bayi prematur,PANGAN OLAHAN UNTUK KEPERLUAN MEDIS KHUSUS (PKMK),,,,,,bubuk,,yes,,,,,,"""a) Diresepkan oleh dokter yang memiliki kompetensi di bidang ilmu penyakit anak.
b) Syarat pemberian:
1) Bila ASI yang tersedia kurang dari 100 mL/kg BB bayi/hari.
2) Diberikan susu formula prematur (24 kkal/oz) untuk bayi berat lahir sangat rendah <1.500 gram atau prematur    < 32 minggu, selanjutnya dapat diresepkan sampai usia koreksi 40 minggu atau 0 bulan dan/atau sampai berat badan 2.500 gram.""",,,,,,
Pangan Olahan untuk Keperluan Medis Khusus (PKMK) untuk pasien kelainan metabolik Galaktosemia,PANGAN OLAHAN UNTUK KEPERLUAN MEDIS KHUSUS (PKMK),,,,,,bubuk,,yes,,,,,,"""a) Hanya digunakan untuk kelainan kelainan metabolik galaktosemia yang telah didiagnosis dengan pemeriksaan asam amino/asam organik/aktivitas enzim/genetik.  
b) Diresepkan oleh dokter yang memiliki kompetensi di bidang ilmu nutrisi dan penyakit metabolik.
c) Galaktosemia diberikan Formula asam amino bebas galaktosa.
d) Dapat diberikan untuk:
- usia 0 -12 bulan atau
- usia 1 – 18 tahun.
e) Diberikan sesuai kategori kebutuhan kalori berdasarkan Recomended Dietary Allowance (RDA):
- (0 – 6 bulan): Formula bebas galaktosa 100% RDA. 
- (6 – 9 bulan): Formula bebas galaktosa 70% RDA + makanan pendamping diet restriksi. 
- (9 – 12 bulan): Formula bebas galaktosa 50% RDA + makanan pendamping diet restriksi.
- (>12 bulan): Formula bebas galaktosa 30% RDA + makanan keluarga diet restriksi. per 1 bulan.
f) Hanya diberikan sampai usia 18 tahun.""",,,,,,
Pangan Olahan untuk Keperluan Medis Khusus (PKMK) untuk pasien kelainan metabolik Isovaleric Acidemia (IVA),PANGAN OLAHAN UNTUK KEPERLUAN MEDIS KHUSUS (PKMK),,,,,,bubuk,,yes,,,,,,"""a) Hanya digunakan untuk kelainan metabolik Isovaleric Acidemia (IVA) yang telah didiagnosis dengan pemeriksaan asam amino/asam organik/aktivitas enzim/genetik.
b) Diresepkan oleh dokter yang memiliki kompetensi di bidang ilmu nutrisi dan penyakit metabolik.
c) IVA diberikan Formula bebas Leusin.
d) Diberikan sesuai kategori kebutuhan kalori berdasarkan Recomended Dietary Allowance (RDA):
- (0 – 6 bulan): Formula bebas Leusin, 100% RDA.
- (6 – 9 bulan): Formula bebas Leusin 70% RDA + makanan pendamping diet restriksi.
- (9 – 12 bulan): Formula bebas Leusin 50% RDA + makanan pendamping diet restriksi.
- (>12 bulan): Formula bebas Leusin 30% RDA + makanan keluarga diet restriksi.
e) Hanya diberikan sampai usia 18 tahun.""",,,,,,
